unixtime,IND1,MOD6,RES6
1489054200,,,
1489054800,,,
1489055400,,,
1489056000,,,
1489056600,,,
1489057200,,,
1489057800,,,
1489058400,,,
1489059000,,,
1489059600,,,
1489060200,,,
1489060800,,,
1489061400,,,
1489062000,,,
1489062600,,,
1489063200,,,
1489063800,,,
1489064400,,,
1489065000,,,
1489065600,,,
1489066200,,,
1489066800,,,
1489067400,,,
1489068000,,,
1489068600,,,
1489069200,,,
1489069800,,,
1489070400,,,
1489071000,,,
1489071600,,,
1489072200,,,
1489072800,1.0,,
1489073400,,,
1489074000,,,
1489074600,,,
1489075200,1.0,,
1489075800,,,
1489076400,,,
1489077000,,,
1489077600,1.0,,
1489078200,,,
1489078800,,,
1489079400,,,
1489080000,,,
1489080600,,,
1489081200,1.0,,
1489081800,1.0,,
1489082400,1.0,,
1489083000,1.0,,
1489083600,1.0,,
1489084200,,,
1489084800,,,
1489085400,,,
1489086000,,,
1489086600,,,
1489087200,,,
1489087800,,,
1489088400,1.0,,
1489089000,1.0,,
1489089600,1.0,,
1489090200,1.0,,
1489090800,,,
1489091400,,,
1489092000,,,
1489092600,,,
1489093200,,,
1489093800,,,
1489094400,,,
1489095000,,,
1489095600,,,
1489096200,,,
1489096800,,,
1489097400,,,
1489098000,,,
1489098600,,,
1489099200,,,
1489099800,,,
1489100400,,,
1489101000,,,
1489101600,,,
1489102200,,,
1489102800,,,
1489103400,,,
1489104000,,,
1489104600,,,
1489105200,,,
1489105800,,,
1489106400,,,
1489107000,,,
1489107600,,,
1489108200,,,
1489108800,,,
1489109400,,,
1489110000,,,
1489110600,,,
1489111200,,,
1489111800,,,
1489112400,,,
1489113000,,,
1489113600,,,
1489114200,,,
1489114800,,,
1489115400,,,
1489116000,,,
1489116600,,,
1489117200,,,
1489117800,,,
1489118400,,,
1489119000,,,
1489119600,,,
1489120200,,,
1489120800,,,
1489121400,,,
1489122000,,,
1489122600,,,
1489123200,,,
1489123800,,,
1489124400,,,
1489125000,,,
1489125600,,,
1489126200,,,
1489126800,,,
1489127400,,,
1489128000,,,
1489128600,,,
1489129200,,,
1489129800,,,
1489130400,,,
1489131000,,,
1489131600,,,
1489132200,,,
1489132800,,,
1489133400,,,
1489134000,,,
1489134600,,,
1489135200,,,
1489135800,,,
1489136400,,,
1489137000,,,
1489137600,,,
1489138200,,,
1489138800,,,
1489139400,,,
1489140000,,,
1489140600,,,
1489141200,,,
1489144800,,,
1489145400,,,
1489146000,,,
1489146600,,,
1489152600,,,
1489158600,,,
1489164600,,,
1489170600,,,
1489176600,,,
1489182600,,,
1489188600,,,
1489194600,,,
1489200600,,,
1489206600,,,
1489212600,,,
1489218600,,,
1489224600,,,
1489230600,,,
1489236600,,,
1489242600,,,
1489248600,,,
1489254600,,,
1489260600,,,
1489266600,,,
1489272600,,,
1489278600,,,
1489284600,,,
1489290600,,,
1489296600,,,
1489302600,,,
1489308600,,,
1489314600,,,
1489320600,,,
1489326600,,,
1489332600,,,
1489338600,,,
1489344600,,,
1489351800,,,
1489357800,,,
1489363800,,,
1489369800,,,
1489375800,,,
1489381800,,,
1489387800,,,
1489398000,,,
1489404000,,,
1489410600,,,
1489416600,,,
1489422600,,,
1489428600,,,
1489434600,,,
1489440600,,,
1489446600,,,
1489453200,,,
1489459200,,,
1489465200,,,
1489471200,,,
1489477200,,,
1489483200,,,
1489489200,,,
1489495800,,,
1489501800,,,
1489507800,,,
1489513800,,,
1489519800,,,
1489525800,,,
1489531800,,,
1489537800,,,
1489543800,,,
1489549800,,,
1489555800,,,
1489561800,,,
1489567800,,,
1489573800,,,
1489580400,,,
1489586400,,,
1489592400,,,
1489598400,,,
1489604400,,,
1489610400,,,
1489616400,,,
1489622400,,,
1489628400,,,
1489634400,,,
1489640400,,,
1489646400,,,
1489652400,,,
1489658400,,,
1489664400,,,
1489670400,,,
1489676400,,,
1489682400,,,
1489688400,,,
1489694400,,,
1489700400,,,
1489706400,,,
1489712400,,,
1489718400,,,
1489724400,,,
1489730400,,,
1489736400,,,
1489742400,,,
1489748400,,,
1489754400,,,
1489760400,,,
1489766400,,,
1489772400,,,
1489778400,,,
1489784400,,,
1489790400,,,
1489796400,,,
1489802400,,,
1489808400,,,
1489814400,,,
1489820400,,,
1489828200,,,
1489834200,,,
1489840200,,,
1489846800,,,
1489852800,,,
1489858800,,,
1489864800,,,
1489870800,,,
1489876800,,,
1489882800,,,
1489888800,,,
1489894800,,,
1489900800,,,
1489906800,,,
1489912800,,,
1489918800,,,
1489924800,,,
1489930800,,,
1489936800,,,
