TRAINING,VALIDATION
8.96120048288e-07,2.19497403444e-06
7.55410268158e-07,1.74731519641e-06
9.30030428226e-07,1.79543523909e-06
4.29761222263e-07,1.44919729474e-06
9.00896200402e-07,1.13358929617e-06
7.08673901726e-07,8.53752698611e-07
5.07989303685e-07,1.29191702184e-06
8.38867344024e-07,2.76188610641e-06
6.69620068289e-07,1.40566622931e-06
7.30392554044e-07,1.81134374845e-06
7.91343301663e-07,2.26235909136e-06
1.32599341002e-06,2.23273691395e-06
